drama_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description,kdrama_id,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop
100 Days My Prince,"['historical', 'comedy', 'romance', 'drama']","['amnesia', 'hidden identity', 'marriage of convenience', 'joseon dynasty', 'fake marriage', 'eccentric male lead', 'hardworking female lead', 'double identity', 'strong female lead', 'riches to rags ']",16,10-Sep-18,30-Oct-18,"['tuesday', 'monday']",['tvN'],75.0,8.3,21274.0,554,136,15+ - Teens 15 or older,"45,852","['Doh Kyung Soo', 'Nam Ji Hyun', 'Kim Seon Ho', 'Han So Hee', 'Jo Sung Ha', 'Kim Jae Young']","['WeTV', 'Netflix', 'K-DRAMA', 'Apple TV', 'Viki']",7.7,"2,188","Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.",53c858d11a284859a1f50699b5aa6f51,2018,"['Lee Jong Jae', 'Nam Sung Woo']",['Noh Ji Sul'],South Korea,Drama,16,4500.0,2018-09-10,2018-10-30,"Tuesday, Monday",tvN,15+ - Teens 15 or older,"Lee Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply-rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable age must wed before the age of 28.Hong Shim is a strong, intelligent woman who supports herself and her father. After an attempt on his life, Crown Prince Lee Yul is severely injured and finds himself under the care of the Hong household. He’s experiencing temporary amnesia, and now unaware of his identity, he is free to wander at will as a commoner.Due to the law, he himself passed, Hong Shim, now the oldest unmarried woman in her village, must marry or face punishment from officials. Lee Yul proposes to Hong Shim that they ought to marry. Can their budding romance withstand Lee Yul’s eventual recovery, with his memory fully intact?(Source: AJ and Lee C at MyDramaList)",882,140
18 Again,"['romance', 'life', 'drama', 'fantasy']","['second chance', 'first love', 'father-son relationship', 'divorce', 'father-daughter relationship', 'hardworking female lead', 'mother-daughter relationship', 'school', 'becoming young', 'school bullying ']",16,21-Sep-20,10-Nov-20,"['monday', 'tuesday']",['jTBC'],70.0,8.7,21409.0,105,125,15+ - Teens 15 or older,"47,527","['Kim Ha Neul', 'Yoon Sang Hyun', 'Lee Do Hyun', 'Roh Jeong Eui', 'Ryeoun', 'Wi Ha Joon']",['WeTV'],8.2,"1,847",A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.,d16ff503ce6a4623a631eaeb99e49e15,2020,['Ha Byung Hoon'],"['Kim Do Yeon', 'Ahn Eun Bin', 'Choi Yi Ryun']",South Korea,Drama,16,4200.0,2020-09-21,2020-11-10,"Monday, Tuesday",jTBC,15+ - Teens 15 or older,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn. (Source: Viki)~~ Remake of the American film “17 Again"" [2009].",234,115
365: Repeat the Year,"['thriller', 'mystery', 'drama', 'fantasy']","['strong female lead', 'time travel', 'nice male lead', 'suspense', 'murder', 'fate', 'supernatural', 'lying', 'bromance', 'strong male lead ']",24,23-Mar-20,28-Apr-20,"['monday', 'tuesday']",['MBC'],35.0,8.6,7598.0,250,438,15+ - Teens 15 or older,"20,963","['Lee Joon Hyuk', 'Nam Ji Hyun', 'Kim Jee Soo', 'Lee Sung Wook', 'Yoon Joo Sang', 'Ahn Seung Gyun']",['Viki'],8.0,656,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.",587ac49da83e441f9d86935f23b74e94,2020,['Kim Kyung Hee'],"['Lee Seo Yoon', 'Lee Soo Kyung']",South Korea,Drama,24,2100.0,2020-03-23,2020-04-28,"Monday, Tuesday",MBC,15+ - Teens 15 or older,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.Ji Hyung Joo is a detective in the violent crimes division. He used to be part of the traffic police but was promoted when he arrested a wanted criminal.It's been seven years since the change, and he's a talented individual who always knows how to relax. Though he is happy at first to have the chance to go back in time by one year and ""reset"" his life, he begins to search for the truth when a series of mysterious events befall the group of people he goes back in time with.(Source: Soompi, MBC)~~ Adapted from the novel “Repeat"" by Inui Kurumi.",413,480
A Beautiful Mind,"['mystery', 'psychological', 'romance', 'medical']","['antisocial personality disorder', 'eccentric male lead', 'father-son relationship', 'emotional blunting', 'investigation', 'cold man/warm woman', 'slow burn romance', 'character development', 'neurosurgeon male lead', 'hospital setting ']",14,20-Jun-16,2-Aug-16,"['monday', 'tuesday']",['KBS2'],60.0,8.2,9122.0,839,366,15+ - Teens 15 or older,"23,734","['Jang Hyuk', 'Park So Dam', 'Yoon Hyun Min', 'Park Se Young', 'Heo Joon Ho', 'Kim Jong Soo']",['Viki'],,,,ea46118bcd104fa7a28acc89061bd3bf,2016,"['Mo Wan Il', 'Lee Jae Hoon']",['Kim Tae Hee'],South Korea,Drama,14,3600.0,2016-06-20,2016-08-02,"Monday, Tuesday",KBS2,15+ - Teens 15 or older,"Lee Yeong Oh is a genius neurosurgeon who just came back to Korea after finishing his studies abroad. He now works with his father, Lee Gun Myung, who is the head of the cardio-cerebrovascular center at Hyunsung hospital. However, Yeong Oh lacks empathy towards his patients due to his antisocial personality disorder.One day, traffic policewoman Gye Jin Sung sees a murder in front of her, which was disguised as a traffic accident. She rushes the victim to Hyunsung hospital, where her crush Surgeon Hyun Suk Joo, of the cardiothoracic section, and Surgeon Yeong Oh operate on him. Unfortunately, the patient dies and she starts suspecting Surgeon Yeong Oh of foul play. Meanwhile, a series of bizarre patient deaths start occurring at the hospital and Yeong Oh starts investigating it.(Source: MyDramaList)",1265,438
A Bird That Doesn't Sing,"['romance', 'drama', 'family', 'melodrama']","['wrongfully accused', 'soap opera', 'revenge', 'riches to rags ']",100,4-May-15,22-Oct-15,"['monday', 'tuesday', 'wednesday', 'thursday']",['tvN'],50.0,7.3,72.0,70822,8632,Not Yet Rated,552,"['Oh Hyun Kyung', 'Hong Ah Reum', 'Kang Ji Sub', 'Kim Yoo Suk', 'Ahn Jae Min', 'Baek Seung Hee']",[],,,,50ba217dbb2e4b75a51c9c198ccc0bed,2015,['Kim Pyung Joong'],['Yeo Jeong Mi'],South Korea,Drama,100,3000.0,2015-05-04,2015-10-22,"Monday, Tuesday, Wednesday, Thursday",tvN,Not Yet Rated,A 10 billion won insurance murder case causes Oh Ha Naui to lose everything. She sets out to take revenge upon Chun Mi Ja who caused her misfortune. ,51955,9461
A Daughter Just Like You,"['comedy', 'romance', 'family', 'melodrama']","['cold female lead', 'single father', 'warm man/cold woman', 'widower', 'independent female lead', 'hardworking female lead', 'strict father', 'selfish mother', 'supportive father-in-law', 'smart female lead ']",120,18-May-15,6-Nov-15,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],35.0,7.5,342.0,3905,4987,15+ - Teens 15 or older,"1,389","['Lee Soo Kyung', 'Woo Hee Jin', 'Kim Hye Ok', 'Kang Kyung Joon', 'Jung Hye Sung', 'Kang Tae Sung']",[],7.1,17,"Hong Ae-Ja (Kim Hye-Ok) works as a host at a home shopping channel. She has three accomplished daughters: Ji-Sung (Woo Hee-Jin), In-Sung (Lee Soo-Kyung) and Hee-Sung (Jung Hye-Seong). Hong Ae-Ja's family interconnects with So Pan-Seok's (Jung Bo-Suk) family and Heo Eun-Sook's (Park Hae-Mi) as in-laws.

—http://asianwiki.com/A_Daughter_Just_Like_You",53d9a7307c8e4c02a9743d6bf6a2f9e0,2015,"['Oh Hyun Jong', 'Park Won Gook']",['Ga Sung Jin'],South Korea,Drama,120,2100.0,2015-05-18,2015-11-06,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC,15+ - Teens 15 or older,"This family-oriented show revolves around three different families clashing through a lot of misunderstandings as they become in-laws with each other: a popular female host on a shopping channel and her three daughters who are a college professor, high-powered consultant, and doctor, a divorced spouse who loves to regale stories about his time in the Marines, he has dried skin from doing the dishes every day; and a daughter from a rich family that that runs a successful fashion designer company. Their problems clear up slowly through love and understanding that result in a healing process.(SourcE: MBC)",5658,5652
A Korean Odyssey,"['horror', 'comedy', 'romance', 'fantasy']","['ghost-seeing female lead', 'special power', 'supernatural power', 'demon', 'steamy kiss', 'aggressive male lead', 'ghost', 'tough male lead', 'love/hate relationship', 'bromance ']",20,23-Dec-17,4-Mar-18,"['saturday', 'sunday']","['Netflix', 'tvN']",80.0,8.3,34175.0,778,55,15+ - Teens 15 or older,"71,365","['Lee Seung Gi', 'Cha Seung Won', 'Oh Yeon Seo', 'Lee Hong Ki', 'Jang Gwang', 'Lee El']","['Viki', 'Netflix', 'Apple TV']",8.0,"4,741","In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere.",37f51098edfd4323a9a3a1a95c5f1ed2,2017,"['Park Hong Kyun', 'Kim Jung Hyun', 'Kim Byung Soo']","['Hong Jung Eun', 'Hong Mi Ran']",South Korea,Drama,20,4800.0,2017-12-23,2018-03-04,"Saturday, Sunday",Netflix tvN,15+ - Teens 15 or older,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other as they look for a true light in a dark world where evil thrives. Having made a contract with Seon Mi 25 years ago, entitling her to seek help from Son Oh Gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter. From there, Son Oh Gong is bound to his protective role towards Seon Mi, the little girl he had met years ago.(Source: Wikipedia) ~~ Adapted from the classic Chinese novel “Journey to the West,” but reinterprets the story into the present day and has a romantic-fantasy twist.",1193,56
A Love So Beautiful,"['comedy', 'romance', 'life', 'youth']","['unrequited love', 'first love', 'doctor male lead', 'height difference', 'bright female lead', 'female chases male first', 'adapted from a novel', 'love triangle', 'smart male lead', 'high school ']",24,28-Dec-20,20-Feb-21,"['monday', 'thursday', 'saturday']","['Daum Kakao TV', 'Netflix']",20.0,7.8,12861.0,2351,353,13+ - Teens 13 or older,"24,624","['Kim Yo Han', 'So Ju Yeon', 'Yeo Hoe Hyun', 'Jo Hye Joo', 'Jung Jae Oh', 'Kim Dong Kyu']","['Kakao TV', 'Netflix']",7.3,"1,038","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",8c3ab0366564445da7ca7d3c4e3e3c4a,2020,,['Jang Yoo Yeon'],South Korea,Drama,24,1200.0,2020-12-28,2021-02-20,"Monday, Thursday, Saturday",Daum Kakao TV Netflix,13+ - Teens 13 or older,"Cha Heon is a student at Chun Ji High School who has both good looks and brains. He appears to be a cold character, but he is actually someone with a warm heart who can't express himself well.Shin Sol Yi is a bright and bubbly 17-year-old who has a crush on Cha Heon. She openly confesses her love to Cha Heon constantly. She is a clumsy but lovable character.Woo Dae Sung is a talented swimmer who transfers to Chun Ji High School and falls for Shin Sol Yi. He hides his feelings for her and quietly stays by her side.",3468,340
A Model Family,"['thriller', 'mystery', 'crime', 'drama']","['investigation', 'suspense', 'professor male lead', 'gun violence', 'drug usage', 'bankruptcy', 'organized crime', 'secret', 'married couple', 'miniseries ']",10," Aug 12, 2022",,['friday'],['Netflix'],45.0,7.6,359.0,3170,3636,18+ Restricted (violence & profanity),"2,243","['Jung Woo', 'Park Hee Soon ', 'Yoon Jin Seo', 'Park Ji Yeon', 'Kim Sung Oh', 'Kim Shin Bi']",['Netflix'],6.6,366,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",08ccca48ee5544c4bc794d61e6aa4cb0,2022,"['Kim Jin Woo', 'Park Yoo Young']",['Lee Jae Gon'],South Korea,Drama,10,2700.0,"Aug 12, 2022","Aug 12, 2022",Friday,Netflix,18+ Restricted (violence & profanity),"The storyfollows what happens when an ordinary familythat is on the verge of collapse due to bankruptcy and internal feudsgets involved with a bloodthirsty drug ring. In the midst of dangerous missions and close calls, the members of the family will band together and become a model family as they stand up against the drug ring that threatens their livelihoods.",5614,2567
A Piece of Your Mind,"['romance', 'life', 'drama', 'melodrama']","['healing', 'depression', 'slow burn romance', 'artificial intelligence', 'character development', 'tragic past', 'insomnia', 'secret crush', 'trauma', 'music ']",12,23-Mar-20,28-Apr-20,"['monday', 'tuesday']",['tvN'],71.0,8.2,9704.0,950,324,15+ - Teens 15 or older,"26,179","['Jung Hae In', 'Chae Soo Bin', 'Lee  Ha Na ', 'Kim Sung Gyu', 'Park Ju Hyun', 'Lee Sang Hee']","['Apple TV', 'Viki', 'WeTV']",7.3,741,A romance about an artificial intelligence (AI) programmer and classical recording engineer.,de4f193eae534711992908b5f62f368e,2020,['Lee Sang Yeob'],['Lee Sook Yun'],South Korea,Drama,12,4260.0,2020-03-23,2020-04-28,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"An innovator in the world of artificial intelligence programming, Moon Ha Won has made quite a name for himself in the AI industry. The founder and brain behind the popular portal site, M&H, Ha Won is a man everyone knows. A man devoted to his work, everyone knows he doesn’t take what he does lightly and expects his employees to follow suit, but he’s also known as a kindhearted, rational thinker, who never gets angry and never loses his cool. An ideal man, with a soft heart, Ha Won believes that when it comes to love, having even a small fraction of his love’s heart is enough to sustain him. But that theory is put to the test when Han Seo Woo wanders into his world.A classical music recording engineer, Seo Woo hasn’t had the easiest life. With no family to support her, and no place to call home, Seo Woo has spent the majority of her life wandering and alone. Despite her difficulties, Seo Woo has managed to keep an open and optimistic mindset, believing that all things happen for a reason. Wandering down the path life has laid before her, Seo Woo soon finds herself crossing paths with Ha Won. As the two begin a journey together, they come to find that sometimes two different halves really can make a whole.(Source: Viki)",1444,347
